,ConcernID,IssueID,IssueDescription,ConcernDescription,ResolutionDescription,Clause,keyword_corpus,Breach,Predicted_Breach
49,971112,1020452,account opened in different name than business loan ANZ Bourke St Mall branch BSB 3132,you visited ANZ Bourke Street Mall branch on 13 December 2016 to open ANZ Offset account and link it with your Residential Investment Property loan. The account wasn't opened up in same name as loan account and hence it wasn't receiving the offset benefits. You're requesting ANZ to adjust the interest you would have benefitted from 13 December 2016 until 17 May 2017 on your ANZ Residential Investment Property loan. On two occasions due to incorrect interest being charged from offset account sufficient funds weren't available for loan payments.You want to confirm if this error hasn't affected your internal credit score with us.,Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.I?m sorry to hear that you have had a poor experience with our staff and that this has caus,15,you visited ANZ Bourke Street Mall branch on 13 December 2016 to open ANZ Offset account and link it with your Residential Investment Property loan. The account wasn't opened up in same name as loan account and hence it wasn't receiving the offset benefits. You're requesting ANZ to adjust the interest you would have benefitted from 13 December 2016 until 17 May 2017 on your ANZ Residential Investment Property loan. On two occasions due to incorrect interest being charged from offset account sufficient funds weren't available for loan payments.You want to confirm if this error hasn't affected your internal credit score with us.account opened in different name than business loan ANZ Bourke St Mall branch BSB 3132Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.I?m sorry to hear that you have had a poor experience with our staff and that this has caus15,0.0,0.0
161,COM-100003,COM-100003_1,rewards fee,***credit card   Customer is not happy with paying annual rewards fee  He wants $110 reversed asap,"Acknowledged his dissatisfaction of the rewards fee Acknowledged his dissatisfaction on the decommissioning of AMEX  Advised I will pass on feedback to products area As it has been a products decision  Reviewed previous complaint explained the $110 for rewards fee was offered previously as a gwg  He was advised of t&c's and that he will need to pay the full fee going forward if he chooses to stay on the rewards card  He understands this  We are his MFI On this occasion only I will apply the $55 credit partial credit given AEMX was decommissioned as a product decision  I acknowledge that he may compare products in future with OFI, but also advised ANZ could release other credit card products in a years time also  He is happy with my resolution of $55  Case closed.",14a,"***credit card   Customer is not happy with paying annual rewards fee  He wants $110 reversed asaprewards feeAcknowledged his dissatisfaction of the rewards fee Acknowledged his dissatisfaction on the decommissioning of AMEX  Advised I will pass on feedback to products area As it has been a products decision  Reviewed previous complaint explained the $110 for rewards fee was offered previously as a gwg  He was advised of t&c's and that he will need to pay the full fee going forward if he chooses to stay on the rewards card  He understands this  We are his MFI On this occasion only I will apply the $55 credit partial credit given AEMX was decommissioned as a product decision  I acknowledge that he may compare products in future with OFI, but also advised ANZ could release other credit card products in a years time also  He is happy with my resolution of $55  Case closed.14a",0.0,0.0
163,COM-100006,COM-100006_1,Poor service,Customer dissatisfied with the service he received at the ANZ Cranbourne branch today. He was informed by his business banker to go into the Cranbourne branch to open an L5 account. He was told by branch manager they will not be able to assist him. Customer dissatisfied as the branch manager was not helpful as this was an urgent request.,Apologised to customer and informed him feedback will be passed on to relevant manager.,15,Customer dissatisfied with the service he received at the ANZ Cranbourne branch today. He was informed by his business banker to go into the Cranbourne branch to open an L5 account. He was told by branch manager they will not be able to assist him. Customer dissatisfied as the branch manager was not helpful as this was an urgent request.Poor serviceApologised to customer and informed him feedback will be passed on to relevant manager.15,0.0,0.0
179,COM-100033,COM-100033_1,Retention offer cancelled and reverted to the standard rate.,"15/06 ? Retention offer of 12.99% p.a  The variable rate loan had the rate increased higher than what the customer was on, went to 14.29% p.a. Now put back to 12.99% but complaint with regards to the loan being increased.  Offered fixed rate 10.99%  - Access account, salary goes into the account, charges in place with the $2,000.00 waiver. Deposit not on this account, 2 months this has been waived, customer not happy with this and requests this to be changed.","I apologise to the customer for the inconvenience, reconciliation was done on the loan, offered customer a credit to the loan account for $50.00 and $110.00 to the Access Advantage account due to the $5.00 fee waiver not allocated. Customer happy with the resolution of the complaint.",14a,"15/06 ? Retention offer of 12.99% p.a  The variable rate loan had the rate increased higher than what the customer was on, went to 14.29% p.a. Now put back to 12.99% but complaint with regards to the loan being increased.  Offered fixed rate 10.99%  - Access account, salary goes into the account, charges in place with the $2,000.00 waiver. Deposit not on this account, 2 months this has been waived, customer not happy with this and requests this to be changed.Retention offer cancelled and reverted to the standard rate.I apologise to the customer for the inconvenience, reconciliation was done on the loan, offered customer a credit to the loan account for $50.00 and $110.00 to the Access Advantage account due to the $5.00 fee waiver not allocated. Customer happy with the resolution of the complaint.14a",0.0,0.0
187,COM-100037,COM-100037_1,Incorrect information by branch,Customer sold bike for $1900.00. The purchaser deposited the funds in ATM and it showed as $500.00 of $1900.00 available in her account. Customer attended branch to check the transaction and was advised they could not explain why $500.00 was avaiable and told customer it was cash and would not be able to be taken back. Based on this information customer handed over the bike and now has found the transaction was processed as a Cheque and has bounced. Customer wants to be reimbursed for the $1900.00,Credited account for $1900.00. Case found in customers favour,15,Customer sold bike for $1900.00. The purchaser deposited the funds in ATM and it showed as $500.00 of $1900.00 available in her account. Customer attended branch to check the transaction and was advised they could not explain why $500.00 was avaiable and told customer it was cash and would not be able to be taken back. Based on this information customer handed over the bike and now has found the transaction was processed as a Cheque and has bounced. Customer wants to be reimbursed for the $1900.00Incorrect information by branchCredited account for $1900.00. Case found in customers favour15,0.0,0.0
195,COM-100058,COM-100058_1,Customer recieveing statements for closed card.,Customer not happy about recieveing statements for the ANZ EVERYDAY VISA DEBIT card he closed 6 years ago.,Apologised and advised customer will organise for statements to stop coming out to customer.,33,Customer not happy about recieveing statements for the ANZ EVERYDAY VISA DEBIT card he closed 6 years ago.Customer recieveing statements for closed card.Apologised and advised customer will organise for statements to stop coming out to customer.33,0.0,0.0
202,COM-100079,COM-100079_1,customer not rcvd the best deal on the merchant facility.,Diane from commercial retention advised customer has been disadvantaged financially on their merchant facilities due to not being on the business select package. She has calculated we need to Cr the customer $299.40 to ensure they benefit from one years free rental.,apology for customer to be given by Diane Advised that it should have been linked to the Business Select Package with 1 free years rent Offered to credit the customer $299.40 Diane advised customer will be happy tp accept the resolution.  agreed with Diane to CR $299.40 to nominated DDA,14a,Diane from commercial retention advised customer has been disadvantaged financially on their merchant facilities due to not being on the business select package. She has calculated we need to Cr the customer $299.40 to ensure they benefit from one years free rental.customer not rcvd the best deal on the merchant facility.apology for customer to be given by Diane Advised that it should have been linked to the Business Select Package with 1 free years rent Offered to credit the customer $299.40 Diane advised customer will be happy tp accept the resolution.  agreed with Diane to CR $299.40 to nominated DDA14a,0.0,0.0
219,COM-100123,COM-100123_1,Simple Complaint actioned by BLR 02- Poor service General Complaint,"Poor service general   I set up a individual and joint access advantage account before moving to Autralia from the UK. I phoned ANZ to ask what I should do about getting my cards delivered to my new Australian address. I was told to visit a branch on my arrival. I did this and advised of my new address. 2 weeks later, my cards arrived at my UK address.I spent over an hour on the phone to ANZ again trying to get new cards sorted. They arrived on time however the day after, when the PIN arrived, they didn't match the card. I struggled to get to a branch before closing to sort this as I was working. Once I did, the lady in the branch told me I coud make online payments with the card. I can't as it is not a visa. I am now having to order yet another card to do this. I went with ANZ because it appeared to be the main bank for overseas people. As I am sure you can appreciate, the whole situation has been very stressful as I have little access to any money since arriving!  Just an apology and feedback taken on board.",Simple Complaint actioned by BLR 02- Poor service General Complaint,33,"Poor service general   I set up a individual and joint access advantage account before moving to Autralia from the UK. I phoned ANZ to ask what I should do about getting my cards delivered to my new Australian address. I was told to visit a branch on my arrival. I did this and advised of my new address. 2 weeks later, my cards arrived at my UK address.I spent over an hour on the phone to ANZ again trying to get new cards sorted. They arrived on time however the day after, when the PIN arrived, they didn't match the card. I struggled to get to a branch before closing to sort this as I was working. Once I did, the lady in the branch told me I coud make online payments with the card. I can't as it is not a visa. I am now having to order yet another card to do this. I went with ANZ because it appeared to be the main bank for overseas people. As I am sure you can appreciate, the whole situation has been very stressful as I have little access to any money since arriving!  Just an apology and feedback taken on board.Simple Complaint actioned by BLR 02- Poor service General ComplaintSimple Complaint actioned by BLR 02- Poor service General Complaint33",0.0,0.0
276,COM-100217,COM-100217_1,Incorrect information provided,Customer advised she was offered Qantas membership fee waiver on an ANZ Frequent Flyer Platinum Cad by ANZ Chatswood branch on 25/08/2017. She advised while she was applying for the Qantas Membership it has asked her to pay $89.50. She will pay it today however would like us to refund the Qantas membership fee.,I sincerely apologise customer and advised I will compensate her $89.50 provided she got paid for the membership. She advised she will do it some stage today and will ring us to provide the Qantas Membership number as well. I advised not an issue once done to ring us and we can apply the credit into her ANZ Frequent Flyer Platinum credit. I will provide feedback to the branch manager to ensure staff gets proper feedback.  She was pleased with the resolution.,14a,Customer advised she was offered Qantas membership fee waiver on an ANZ Frequent Flyer Platinum Cad by ANZ Chatswood branch on 25/08/2017. She advised while she was applying for the Qantas Membership it has asked her to pay $89.50. She will pay it today however would like us to refund the Qantas membership fee.Incorrect information providedI sincerely apologise customer and advised I will compensate her $89.50 provided she got paid for the membership. She advised she will do it some stage today and will ring us to provide the Qantas Membership number as well. I advised not an issue once done to ring us and we can apply the credit into her ANZ Frequent Flyer Platinum credit. I will provide feedback to the branch manager to ensure staff gets proper feedback.  She was pleased with the resolution.14a,0.0,0.0
333,COM-100298,COM-100298_1,Amex removal and bonus points,Customer not happy that ANZ has taken Amex privileges away and in return did not offer any substitute. Customer now wants to change card type and for compensation is seeking to be awarded bonus points.   Customer thinks he has been unfairly treated,"I tried calling the customer, no response. I have sent the letter with the offer and have advised the customer to contact if he wants to accept the offer.   Case closed till further information from customer.",14a,"Customer not happy that ANZ has taken Amex privileges away and in return did not offer any substitute. Customer now wants to change card type and for compensation is seeking to be awarded bonus points.   Customer thinks he has been unfairly treatedAmex removal and bonus pointsI tried calling the customer, no response. I have sent the letter with the offer and have advised the customer to contact if he wants to accept the offer.   Case closed till further information from customer.14a",0.0,0.0
