,ConcernID,IssueID,IssueDescription,ConcernDescription,ResolutionDescription,Clause,keyword_corpus,Breach,Predicted_Breach
193,COM-100054,COM-100054_1,Interest charge $11.92,"Customer requesting the interest charge for $11.92 is reversed as customer was unaware of the interest, the customer advises his credit card was lost at the time so he was unable to make payment.","I apologise to the customer, I educate the customer on what the interest is in relation to (residual interest), advise the customer that the card was stopped after statement generated. Considering customer understanding will process credit of $11.92 as gesture of goodwill. I advise the customer that future interest charges including residual interest will be applicable. Customer understands.",14a,"Customer requesting the interest charge for $11.92 is reversed as customer was unaware of the interest, the customer advises his credit card was lost at the time so he was unable to make payment.Interest charge $11.92I apologise to the customer, I educate the customer on what the interest is in relation to (residual interest), advise the customer that the card was stopped after statement generated. Considering customer understanding will process credit of $11.92 as gesture of goodwill. I advise the customer that future interest charges including residual interest will be applicable. Customer understands.14a",1.0,1.0
223,COM-100129,COM-100129_1,servicing fee,"Customer has an ANZ Access Advantage account with us where he has been charged servicing fees since account opened on 29 September 2011. Customer has had over $2,000.00 in deposits during any given month and customer is seeking the fees incurred to be reimbursed.","I apologised to customer for any inconvenience caused as a result of the servicing fee error, I advised customer wavier code has been reset. I offered customer $360.00 to resolve complaint ? accepted. I advised customer to allow up to 2 business days to receive the funds. Gave ICM and #, customer to call back if charged again. Case closed.",15,"Customer has an ANZ Access Advantage account with us where he has been charged servicing fees since account opened on 29 September 2011. Customer has had over $2,000.00 in deposits during any given month and customer is seeking the fees incurred to be reimbursed.servicing feeI apologised to customer for any inconvenience caused as a result of the servicing fee error, I advised customer wavier code has been reset. I offered customer $360.00 to resolve complaint ? accepted. I advised customer to allow up to 2 business days to receive the funds. Gave ICM and #, customer to call back if charged again. Case closed.15",1.0,1.0
331,COM-100296,COM-100296_1,Account closure not processed,Customer used to live in Sydney but have returned to London. He has tried to contact ANZ several times about closing his  Access Advantage Cheque Account  and sent balance to his NAB account but has not heard back from ANZ despite trying to contact them several times.,"Letter sent Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ. I am extremely sorry for any inconvenience this matter may have caused to you. I have passed on your feedback to the relevant areas to be addressed internally.  Our records indicate that the account is in ?NIL? balance since 13 September 2017.  As requested, I have now organised for the account to be closed. Thanks again for sharing your concerns. We are genuinely grateful for your feedback as it provides us the opportunity to review and improve our service.",33,"Customer used to live in Sydney but have returned to London. He has tried to contact ANZ several times about closing his  Access Advantage Cheque Account  and sent balance to his NAB account but has not heard back from ANZ despite trying to contact them several times.Account closure not processedLetter sent Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ. I am extremely sorry for any inconvenience this matter may have caused to you. I have passed on your feedback to the relevant areas to be addressed internally.  Our records indicate that the account is in ?NIL? balance since 13 September 2017.  As requested, I have now organised for the account to be closed. Thanks again for sharing your concerns. We are genuinely grateful for your feedback as it provides us the opportunity to review and improve our service.33",1.0,1.0
366,COM-100330,COM-100330_3,Settlement statement not received.,"Customer is requesting a settlement statement, he has not received one and has been 2 weeks already. Customer not happy that the offset cheque account was frozen for a week due to Government fees, this had restricted him from being able to pay the loan balance down. Customer is wanting the settlement statement, will not pay anything towards the loan account until this is received and requests any interest not to be charged on the loan account until he has received this. Customer calculations advising of a shortfall of $1,500.00.","Settlement statement sent to the customer, I advise the customer to call back if he has any further enquiries relating to this matter. 4/10/2017 Customer informed the information provided on the disbursement letter for the purchase of the property is correct. There should be a second letter for the sale of the property which I will provide him in writing. Customer informed it provides breakdown of the fees which were as follows Total Funds Collected at Settlement $400,320.00 Credited to Account 2175-54696 $34,889.08 Credited to Account 2291-26111 $219,369.35 Credited to Account Credited to Account Credited to Account Credited to Account ANZ Discharge Production Fee $160.00 ANZ Settlement Fee $160.00 Discharge Registration Fee (For WA only) Surplus Funds (if any) Credited to Account 2291-26111 $145,741.57  In reference to delay in receiving the surplus. Funds are issued in the form of a cheque which takes time to process. However as a gesture of goodwill we will reverse the interest amount of $762.80 to the account. Customer confirmed he is satisfied with resolution.",14a,"Customer is requesting a settlement statement, he has not received one and has been 2 weeks already. Customer not happy that the offset cheque account was frozen for a week due to Government fees, this had restricted him from being able to pay the loan balance down. Customer is wanting the settlement statement, will not pay anything towards the loan account until this is received and requests any interest not to be charged on the loan account until he has received this. Customer calculations advising of a shortfall of $1,500.00.Settlement statement not received.Settlement statement sent to the customer, I advise the customer to call back if he has any further enquiries relating to this matter. 4/10/2017 Customer informed the information provided on the disbursement letter for the purchase of the property is correct. There should be a second letter for the sale of the property which I will provide him in writing. Customer informed it provides breakdown of the fees which were as follows Total Funds Collected at Settlement $400,320.00 Credited to Account 2175-54696 $34,889.08 Credited to Account 2291-26111 $219,369.35 Credited to Account Credited to Account Credited to Account Credited to Account ANZ Discharge Production Fee $160.00 ANZ Settlement Fee $160.00 Discharge Registration Fee (For WA only) Surplus Funds (if any) Credited to Account 2291-26111 $145,741.57  In reference to delay in receiving the surplus. Funds are issued in the form of a cheque which takes time to process. However as a gesture of goodwill we will reverse the interest amount of $762.80 to the account. Customer confirmed he is satisfied with resolution.14a",1.0,1.0
405,COM-100393,COM-100393_1,account closure,Customer wants us to know why notification hasnt been sent in relation to account closure.,"Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.  As per Terms and Conditions if you have not used your account for more than three months. If your account has nothing in ir or is overdrawn, and you have not made any payments into or out of it for more than three months, we many close your account without giving any notice and delinked it from Internet banking.  Please accept our apologies for any inconvenience this has caused you.",33,"Customer wants us to know why notification hasnt been sent in relation to account closure.account closureThank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.  As per Terms and Conditions if you have not used your account for more than three months. If your account has nothing in ir or is overdrawn, and you have not made any payments into or out of it for more than three months, we many close your account without giving any notice and delinked it from Internet banking.  Please accept our apologies for any inconvenience this has caused you.33",1.0,1.0
427,COM-100431,COM-100431_1,Account opening process.,"Customer opened account online and expected to complete the ID verification online, and not until the end of the process, they were then notify that they need to attend the branch. One of the partner of the account is working 6 days per week and unable to attend to branch for KYC. Customer didn't receive any notification until they receive a statement of the fees charge  Customer demand to have the account close and all fees to be waive.",Agreed to close account without KYC check.,18.2,"Customer opened account online and expected to complete the ID verification online, and not until the end of the process, they were then notify that they need to attend the branch. One of the partner of the account is working 6 days per week and unable to attend to branch for KYC. Customer didn't receive any notification until they receive a statement of the fees charge  Customer demand to have the account close and all fees to be waive.Account opening process.Agreed to close account without KYC check.18.2",1.0,1.0
464,COM-100490,COM-100490_1,"Mail out to advise of increase to interest only loan not received by customer , customer unaware of increase,","Increase to interest only loan payment  , customer says that he was not notified of changes, unexpected increase has impacted finances this month","Apologised to the customer for the frustration and inconvenience this has caused, empathised with situation regarding unexpected increase in loan payment and impact of same, goodwill credit to offset account to resolve complaint",14a,"Increase to interest only loan payment  , customer says that he was not notified of changes, unexpected increase has impacted finances this monthMail out to advise of increase to interest only loan not received by customer , customer unaware of increase,Apologised to the customer for the frustration and inconvenience this has caused, empathised with situation regarding unexpected increase in loan payment and impact of same, goodwill credit to offset account to resolve complaint14a",1.0,1.0
466,COM-100492,COM-100492_1,Bank cheque bounced,Customer sold a vehicle and deposited the bank cheque at an ATM The cheque bounced and customer requires the funds urgently She is worried that the payee will cancel the cheque and she has already handed over the vehicle,"Called the customer and advised the cheque bounced as the cheque was under her name and deposited into her husband's account. The cheque will be sent to her . Customer advised she has received the cheque, however the staff member did not instill a lot of confidence in her and she was very worried as the staff member told her of a completely different cheque. I apologised to the customer and empathised with her and advised this will be addressed internally.",15,"Customer sold a vehicle and deposited the bank cheque at an ATM The cheque bounced and customer requires the funds urgently She is worried that the payee will cancel the cheque and she has already handed over the vehicleBank cheque bouncedCalled the customer and advised the cheque bounced as the cheque was under her name and deposited into her husband's account. The cheque will be sent to her . Customer advised she has received the cheque, however the staff member did not instill a lot of confidence in her and she was very worried as the staff member told her of a completely different cheque. I apologised to the customer and empathised with her and advised this will be addressed internally.15",1.0,1.0
494,COM-100536,COM-100536_1,misleading information from branch staff regarding a business product,"customer wanting to loadge a complaint  regarding a consultant who works at Martin Place branch, went in to open a business transaction account and was told he could transfer to an OFI from the online saver account and as many transactions as he wanted, this is not the case","Educated the customer on the accounts available, advised to open account at branch and call back to accept offer, letter sent advising. email sent to branch manager to pass on feedback, customer called back and accepts $240.00 credited to business account",15,"customer wanting to loadge a complaint  regarding a consultant who works at Martin Place branch, went in to open a business transaction account and was told he could transfer to an OFI from the online saver account and as many transactions as he wanted, this is not the casemisleading information from branch staff regarding a business productEducated the customer on the accounts available, advised to open account at branch and call back to accept offer, letter sent advising. email sent to branch manager to pass on feedback, customer called back and accepts $240.00 credited to business account15",1.0,1.0
518,COM-100590,COM-100590_1,Account closed without customer knowledge,Customer wants an explanation what has happened to her account ending 122.,Thank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.  I confirm your account has been closed since 27 December 2012 and the funds are transferred to your ANZ Progress Saver account ending in 017.  Please accept our apologies for any inconvenience this has caused you.,33,Customer wants an explanation what has happened to her account ending 122.Account closed without customer knowledgeThank you for the opportunity to investigate this matter and respond to your concerns. We have considered all the information as provided by you and known to ANZ.  I confirm your account has been closed since 27 December 2012 and the funds are transferred to your ANZ Progress Saver account ending in 017.  Please accept our apologies for any inconvenience this has caused you.33,1.0,1.0
