,ConcernID,IssueID,IssueDescription,ConcernDescription,ResolutionDescription,Clause,keyword_corpus,Breach,Predicted_Breach
366,COM-100330,COM-100330_3,Settlement statement not received.,"Customer is requesting a settlement statement, he has not received one and has been 2 weeks already. Customer not happy that the offset cheque account was frozen for a week due to Government fees, this had restricted him from being able to pay the loan balance down. Customer is wanting the settlement statement, will not pay anything towards the loan account until this is received and requests any interest not to be charged on the loan account until he has received this. Customer calculations advising of a shortfall of $1,500.00.","Settlement statement sent to the customer, I advise the customer to call back if he has any further enquiries relating to this matter. 4/10/2017 Customer informed the information provided on the disbursement letter for the purchase of the property is correct. There should be a second letter for the sale of the property which I will provide him in writing. Customer informed it provides breakdown of the fees which were as follows Total Funds Collected at Settlement $400,320.00 Credited to Account 2175-54696 $34,889.08 Credited to Account 2291-26111 $219,369.35 Credited to Account Credited to Account Credited to Account Credited to Account ANZ Discharge Production Fee $160.00 ANZ Settlement Fee $160.00 Discharge Registration Fee (For WA only) Surplus Funds (if any) Credited to Account 2291-26111 $145,741.57  In reference to delay in receiving the surplus. Funds are issued in the form of a cheque which takes time to process. However as a gesture of goodwill we will reverse the interest amount of $762.80 to the account. Customer confirmed he is satisfied with resolution.",14a,"Customer is requesting a settlement statement, he has not received one and has been 2 weeks already. Customer not happy that the offset cheque account was frozen for a week due to Government fees, this had restricted him from being able to pay the loan balance down. Customer is wanting the settlement statement, will not pay anything towards the loan account until this is received and requests any interest not to be charged on the loan account until he has received this. Customer calculations advising of a shortfall of $1,500.00.Settlement statement not received.Settlement statement sent to the customer, I advise the customer to call back if he has any further enquiries relating to this matter. 4/10/2017 Customer informed the information provided on the disbursement letter for the purchase of the property is correct. There should be a second letter for the sale of the property which I will provide him in writing. Customer informed it provides breakdown of the fees which were as follows Total Funds Collected at Settlement $400,320.00 Credited to Account 2175-54696 $34,889.08 Credited to Account 2291-26111 $219,369.35 Credited to Account Credited to Account Credited to Account Credited to Account ANZ Discharge Production Fee $160.00 ANZ Settlement Fee $160.00 Discharge Registration Fee (For WA only) Surplus Funds (if any) Credited to Account 2291-26111 $145,741.57  In reference to delay in receiving the surplus. Funds are issued in the form of a cheque which takes time to process. However as a gesture of goodwill we will reverse the interest amount of $762.80 to the account. Customer confirmed he is satisfied with resolution.14a",1.0,0.0
396,COM-100380,COM-100380_1,Eftpos fees,Customer opened a account in April 2007. Customer started using account as an everyday transaction account and started to get charged fees. Customer advised they were not advised of these fees.  Customer is requesting ANZ to reimburse fees.  Customer has opened an Access Advantage account on 1 August 2017,"Customer debited with excess ATM withdrawal fees Customer requested $1,800.00 of fees reversed as she was not advised of fees  Educated customer with T&C's No previous complaints. Customer provided offer and acceptance of Offer  Transaction saved successfully. Transaction Number = 201709042647 Our file was closed at the status ""Closed Registration & Referral"". We have recorded the outcome as ""Resolved by FSP"", and the outcome type(s) as ""Resolved by FSP "".",15,"Customer opened a account in April 2007. Customer started using account as an everyday transaction account and started to get charged fees. Customer advised they were not advised of these fees.  Customer is requesting ANZ to reimburse fees.  Customer has opened an Access Advantage account on 1 August 2017Eftpos feesCustomer debited with excess ATM withdrawal fees Customer requested $1,800.00 of fees reversed as she was not advised of fees  Educated customer with T&C's No previous complaints. Customer provided offer and acceptance of Offer  Transaction saved successfully. Transaction Number = 201709042647 Our file was closed at the status ""Closed Registration & Referral"". We have recorded the outcome as ""Resolved by FSP"", and the outcome type(s) as ""Resolved by FSP "".15",1.0,0.0
444,COM-100465,COM-100465_1,fees and interest charges,"Customer called as he claims he was misinformed. He accidently paid his credit card twice $2,302.35 on the 17.07 and 19.07  Customer called and was advised to withdraw the amounts and the fees will not be charged Customer has been charged the cash advance fee and interest",I have apologised to customer for the inconvenience this matter has caused them and for not been provided the correct information I have advised customer why and how the cash advance fee and interest was charged on the card I have offered to reverse the interest and the fee as a gwg I have advised customer I will forward their feedback to the management team Customer was happy,14a,"Customer called as he claims he was misinformed. He accidently paid his credit card twice $2,302.35 on the 17.07 and 19.07  Customer called and was advised to withdraw the amounts and the fees will not be charged Customer has been charged the cash advance fee and interestfees and interest chargesI have apologised to customer for the inconvenience this matter has caused them and for not been provided the correct information I have advised customer why and how the cash advance fee and interest was charged on the card I have offered to reverse the interest and the fee as a gwg I have advised customer I will forward their feedback to the management team Customer was happy14a",1.0,0.0
484,COM-100518,COM-100518_1,Annual fee increase on Frequent Flyer Black credit card.,"Annual fee on Frequent Flyer Black card increase from $40.00 to $240.00, customer wants to know why and if this is a processing issue.","I apologise to the customer, I explain to the customer why the annual fee increased and changes introduced after the 5 August 2017. I reimbursed customer $200.00 as gesture of goodwill, advised as of 2018, the annual fee of $240.00 will be applicable to this account.",14a,"Annual fee on Frequent Flyer Black card increase from $40.00 to $240.00, customer wants to know why and if this is a processing issue.Annual fee increase on Frequent Flyer Black credit card.I apologise to the customer, I explain to the customer why the annual fee increased and changes introduced after the 5 August 2017. I reimbursed customer $200.00 as gesture of goodwill, advised as of 2018, the annual fee of $240.00 will be applicable to this account.14a",1.0,0.0
494,COM-100536,COM-100536_1,misleading information from branch staff regarding a business product,"customer wanting to loadge a complaint  regarding a consultant who works at Martin Place branch, went in to open a business transaction account and was told he could transfer to an OFI from the online saver account and as many transactions as he wanted, this is not the case","Educated the customer on the accounts available, advised to open account at branch and call back to accept offer, letter sent advising. email sent to branch manager to pass on feedback, customer called back and accepts $240.00 credited to business account",15,"customer wanting to loadge a complaint  regarding a consultant who works at Martin Place branch, went in to open a business transaction account and was told he could transfer to an OFI from the online saver account and as many transactions as he wanted, this is not the casemisleading information from branch staff regarding a business productEducated the customer on the accounts available, advised to open account at branch and call back to accept offer, letter sent advising. email sent to branch manager to pass on feedback, customer called back and accepts $240.00 credited to business account15",1.0,0.0
498,COM-100542,COM-100542_1,Account closure,The customer received a letter from ANZ stating all of her accounts will be closed under terms and conditions. The customer is not happy with the lack of information.,Declined request. Letter sent.,33,The customer received a letter from ANZ stating all of her accounts will be closed under terms and conditions. The customer is not happy with the lack of information.Account closureDeclined request. Letter sent.33,1.0,0.0
819,COM-101029,COM-101029_1,Card issue,"**CARD ISSUE   Customer card has been blocked by Anz and has been told due to 2 signatories he can't use the card The customer has been using the card last 17 years, he is upset as nobody told him before.            He called up Anz last year to cancel his partners card and still nobody told the customer.            Customer has been issued cards previously when he has lost cards and replacement cards have been issued.      Please call customer as he will take this further and lodge a formal complaint.      Customer going through separation and had opened a sole account in June.            Syed Shakaib Hasan had a bad experience with staff over the phone and wanted someone in the branch to escalate this to Complaints.      Name  SYED SHAKAIB HASAN            Account Number  228537605            Mobile Number  0412826698","I apologise for any inconvenience caused to you.  Your joint account was established in the year 2000 at the ANZ Gladstone Park branch and was set up to be accessed co-jointly with the other account holder. A card should never have been issued on this account and I apologise for any confusion this has caused you.  I have recorded and passed on your feedback to the relevant area to address. ANZ requires both account holders authorisation before changing the way this account has been set up, before we can issue a new card in your name.  Please ensure you both attend an ANZ branch to discuss this signing authority and complete the relevant form to enable access via a card. Thanks again for sharing your feedback with us.",15,"**CARD ISSUE   Customer card has been blocked by Anz and has been told due to 2 signatories he can't use the card The customer has been using the card last 17 years, he is upset as nobody told him before.            He called up Anz last year to cancel his partners card and still nobody told the customer.            Customer has been issued cards previously when he has lost cards and replacement cards have been issued.      Please call customer as he will take this further and lodge a formal complaint.      Customer going through separation and had opened a sole account in June.            Syed Shakaib Hasan had a bad experience with staff over the phone and wanted someone in the branch to escalate this to Complaints.      Name  SYED SHAKAIB HASAN            Account Number  228537605            Mobile Number  0412826698Card issueI apologise for any inconvenience caused to you.  Your joint account was established in the year 2000 at the ANZ Gladstone Park branch and was set up to be accessed co-jointly with the other account holder. A card should never have been issued on this account and I apologise for any confusion this has caused you.  I have recorded and passed on your feedback to the relevant area to address. ANZ requires both account holders authorisation before changing the way this account has been set up, before we can issue a new card in your name.  Please ensure you both attend an ANZ branch to discuss this signing authority and complete the relevant form to enable access via a card. Thanks again for sharing your feedback with us.15",1.0,0.0
847,COM-101086,COM-101086_1,Early Repayment Costs,Customer maintains that he called 06/06 to enquire about a balance. Customer maintains he was advised loan close to finishing and dd would finalise loan and surplus funds would be credited to customer. Customer advised he advised he did not want to pay etf and was given wrong information by cso. Customer is seeking relif from etf that was applied,Apologised to the customer for the experience and advised customer as a gesture of goodwill i will credit him the $176.78 that was charged in an ETF s customer has been banking with Esanda for the 4 years and no prior complaints.,14a,Customer maintains that he called 06/06 to enquire about a balance. Customer maintains he was advised loan close to finishing and dd would finalise loan and surplus funds would be credited to customer. Customer advised he advised he did not want to pay etf and was given wrong information by cso. Customer is seeking relif from etf that was appliedEarly Repayment CostsApologised to the customer for the experience and advised customer as a gesture of goodwill i will credit him the $176.78 that was charged in an ETF s customer has been banking with Esanda for the 4 years and no prior complaints.14a,1.0,0.0
919,COM-101182,COM-101182_1,customer claims not advised of $55 fee per cus to do IPT when they spoke to consultant on 24/08/2017,cus adv he was not informed there would be $55 fee per card to do IPT from Frequent Flyer Platinum to Frequent Flyer Black. call was on 24/08/2017 from cus mobile at around lunch time.,apologised for confusion edu cus that moving forward annnual $55 reward fee applic per card. Cr $110.00 to cover this years reward fees,14a,cus adv he was not informed there would be $55 fee per card to do IPT from Frequent Flyer Platinum to Frequent Flyer Black. call was on 24/08/2017 from cus mobile at around lunch time.customer claims not advised of $55 fee per cus to do IPT when they spoke to consultant on 24/08/2017apologised for confusion edu cus that moving forward annnual $55 reward fee applic per card. Cr $110.00 to cover this years reward fees14a,1.0,0.0
1033,COM-101346,COM-101346_1,incorrect information,Customer unhappy he attended narallen branch customers wife tried to deposit a cheque in her name into an account that she was third party signatory she was declined by the teller. Customer had already contacted ANZ visa online chat and confirmed this was possible,Apologised to customer for misinformation advised feeback will be given.,15,Customer unhappy he attended narallen branch customers wife tried to deposit a cheque in her name into an account that she was third party signatory she was declined by the teller. Customer had already contacted ANZ visa online chat and confirmed this was possibleincorrect informationApologised to customer for misinformation advised feeback will be given.15,1.0,0.0
