topic_num,document
1,"Customer is not happy that he missed out on claiming Free domestic flight on his ANZ Rewards Travel Advanturesunable to claim Free domestic flight on ANZ Rewards travel advanturesapologised to customer for any inconvenience, offered $100 as a gwg, customer accepted"
1,"Customer is not happy that he missed out on claiming Free domestic flight on his ANZ Rewards Travel Advanturesunable to claim Free domestic flight on ANZ Rewards travel advanturesapologised to customer for any inconvenience, offered $100 as a gwg, customer accepted"
1,"Customer advised on ANZ.com, the 131314 number is advertised as 24 hours 7 days a week. However when she called at 11.15pm and the voice mail advised to call between 7am and 10pm.Operational hours for ANZ Direct (131314) advertised as 24/7 on ANZ.com where as it should be 7am to 10pm AEST 7 days a week.Apologised customer and advised the correcting operating hours are 7am to 10pm AEST 7 days a week. I shall provide feedback to the relevant area."
1,Marketing  Case closed.Promotional Email (Marketing)  Case Closed.
1,"Customer advised at the time he applied for the credit card there was an  offer stated that For a limited time, you could travel with a companion with complimentary domestic flights for two in the first 12 months1 when you apply and are approved for the ANZ Rewards Travel Adventures card by 31st May 2017, then spend $500 on eligible purchases in the first three months of approval 1 free domestic flight. Customer advised offer can be viewed on link Campaign.anz.com/credit-cards/rewards-travel-adventures-velocity-addflight/?i=a.Eligibility for domestic flight offer.Letter sent to customer advising flights should be available for redemption within a few weeks i will advise once available."
1,customer wants to lodge a complaint.shadow overdraftfinal response letter sent. educated customer on shadow overdraft facility and offered $180.00 gwg. offer available till 11/12/17
1,customer would like to reserve flights using the rewards travel adventures card under his wifes nameunhappy with service received from QANZ and MLSorganised for flights to be honoured as a once off gwg
1,"Customer is unhappy that the marketing offer available online to customers was not applied to her account.Campaign offer not honouredAs I?m unable to get in touch with the customer and also the offer being available at the time of account opening, applied credit as a goodwill gesture. Letter sent."
1,Customer is not happy about the product feature for his ANZ REWARDS TRAVEL ADVENTURES cardREWARDS TRAVEL ADVENTURES card product featureEducated customer on product features. Advised customer this particular card does not allow additional card holder a free flight.  Apologized for the inconvenience.
1,Customer is unhappy with the cheque clearance time frame. Customer is unhappy with the inconsistency response of cheque clearance time frame from phone team consultants.Customer is unhappy with the cheque clearance time frame.Customer referred to our Terms and Conditions page 13 for further details regarding cheque clearance timeframes and informal overdraft.
1,"Velocity points  Customer applied online for ANZ Rewards Travel Adventures card to get 60,000 velocity points.   Customer was told by rewards he is not eligible for reward points.Velocity points eligibilityCA review  Customer not eligible for promotional points as only targeted customers are.   Offered previous offer of $225 on a good will basis  Apology"
1,"Velocity points  Customer applied online for ANZ Rewards Travel Adventures card to get 60,000 velocity points.   Customer was told by rewards he is not eligible for reward points.Velocity points eligibilityCA review  Customer not eligible for promotional points as only targeted customers are.   Offered previous offer of $225 on a good will basis  Apology"
